base_asset,futures_symbol,spot_symbol,selection_window,coverage_window_start,coverage_window_end,coverage_window_hourly_rows,coverage_window_funding_events,spot_close_coverage,perp_close_coverage,mark_close_coverage,premium_close_coverage,funding_event_coverage,median_train_hourly_perp_quote_volume,total_train_perp_quote_volume,passes_filters,fail_reasons,current_survivor_caveat
BTC,BTCUSDT,BTCUSDT,train_2020_2023,2020-01-01T00:00:00,2023-12-31T23:00:00,35064,4383,0.9991159023499886,1.0,0.9945242984257358,0.9951802418434862,1.0,320244752.47916,16424925234319.312,True,,current-survivor research panel
ETH,ETHUSDT,ETHUSDT,train_2020_2023,2020-01-01T00:00:00,2023-12-31T23:00:00,35064,4383,0.9991159023499886,1.0,0.998631074606434,0.9951802418434862,1.0,152370611.60757,7816785055680.026,True,,current-survivor research panel
BNB,BNBUSDT,BNBUSDT,train_2020_2023,2020-02-10T08:00:00,2023-12-31T23:00:00,34096,4262,0.9991201313937119,1.0,0.994368840919756,0.9950434068512436,1.0,12555090.4848,884732219225.881,True,,current-survivor research panel
SOL,SOLUSDT,SOLUSDT,train_2020_2023,2020-09-14T07:00:00,2023-12-31T23:00:00,28889,3611,0.9993423102218838,0.9958461698224238,0.9941846377513933,0.9949807885354287,1.0,22114174.37,1150835539771.6282,True,,current-survivor research panel
XRP,XRPUSDT,XRPUSDT,train_2020_2023,2020-01-06T08:00:00,2023-12-31T23:00:00,34936,4367,0.9991126631554843,0.996565147698649,0.9951912067781086,0.9958495534692008,1.0,16781910.665245,1235664367786.4058,True,,current-survivor research panel
DOGE,DOGEUSDT,DOGEUSDT,train_2020_2023,2020-07-10T09:00:00,2023-12-31T23:00:00,30471,3808,0.9993764563027141,1.0,0.9984247317121198,0.9944537429030882,1.0,11598827.191829,965008896913.779,True,,current-survivor research panel
ADA,ADAUSDT,ADAUSDT,train_2020_2023,2020-01-31T08:00:00,2023-12-31T23:00:00,34336,4292,0.99909715750233,1.0,0.9986020503261882,0.9950780521901211,1.0,10622630.99955,707800678900.6743,True,,current-survivor research panel
TRX,TRXUSDT,TRXUSDT,train_2020_2023,2020-01-15T08:00:00,2023-12-31T23:00:00,34720,4340,0.9991071428571429,0.9965437788018433,0.9951612903225806,0.995823732718894,1.0,2339821.52758,204873391227.5805,True,,current-survivor research panel
LINK,LINKUSDT,LINKUSDT,train_2020_2023,2020-01-17T08:00:00,2023-12-31T23:00:00,34672,4334,0.9991059067835718,1.0,0.9944623904014767,0.9951257498846331,1.0,9894237.163139999,503453922030.1101,True,,current-survivor research panel
AVAX,AVAXUSDT,AVAXUSDT,train_2020_2023,2020-09-23T07:00:00,2023-12-31T23:00:00,28673,3584,0.9993373557004848,1.0,0.9933038049733198,0.9941059533358909,1.0,8059525.45,442960305291.5536,True,,current-survivor research panel
LTC,LTCUSDT,LTCUSDT,train_2020_2023,2020-01-09T08:00:00,2023-12-31T23:00:00,34864,4358,0.9991108306562644,0.9965580541532814,0.9986232216613126,0.9958409821018815,1.0,8559764.820205,511619162507.51556,True,,current-survivor research panel
BCH,BCHUSDT,BCHUSDT,train_2020_2023,2020-01-01T00:00:00,2023-12-31T23:00:00,35064,4383,0.9991159023499886,1.0,0.998631074606434,0.9951802418434862,1.0,4660910.305435,353387610180.2481,True,,current-survivor research panel
DOT,DOTUSDT,DOTUSDT,train_2020_2023,2020-08-22T07:00:00,2023-12-31T23:00:00,29441,3680,0.9993546414863625,1.0,0.9934784823885058,0.9942597058523828,1.0,9071077.8763,453523947786.3747,True,,current-survivor research panel
NEAR,NEARUSDT,NEARUSDT,train_2020_2023,2020-10-15T08:00:00,2023-12-31T23:00:00,28144,3518,0.9993249005116543,0.995736213757817,0.9940306992609437,0.9948479249573622,1.0,4065643.94135,277371993436.5721,True,,current-survivor research panel
UNI,UNIUSDT,UNIUSDT,train_2020_2023,2020-09-18T07:00:00,2023-12-31T23:00:00,28793,3599,0.9993401173896433,1.0,0.9941652484978988,0.9949640537630674,1.0,3287563.7873,161217872628.39963,True,,current-survivor research panel
ETC,ETCUSDT,ETCUSDT,train_2020_2023,2020-01-16T08:00:00,2023-12-31T23:00:00,34696,4337,0.9991065252478671,1.0,0.998616555222504,0.9951291215125663,1.0,4758945.943565,493910117049.69147,True,,current-survivor research panel
APT,APTUSDT,APTUSDT,train_2020_2023,2022-10-18T07:00:00,2023-12-31T23:00:00,10553,1319,0.9981995641049939,0.9981995641049939,0.9960200890741969,0.9959253292902492,0.9992418498862775,6545030.12205,182640894125.5405,True,,current-survivor research panel
ARB,ARBUSDT,ARBUSDT,train_2020_2023,2023-03-23T07:00:00,2023-12-31T23:00:00,6809,851,0.9986782200029373,0.9988250844470554,0.9991188133352915,0.9988250844470554,1.0,8718617.68508,118188801628.33734,True,,current-survivor research panel
ATOM,ATOMUSDT,ATOMUSDT,train_2020_2023,2020-02-07T12:00:00,2023-12-31T23:00:00,34164,4270,0.9990926121063107,1.0,0.9985950122936424,0.9957557663037115,1.0,3481186.4601849997,254312143765.9758,True,,current-survivor research panel
FIL,FILUSDT,FILUSDT,train_2020_2023,2020-10-16T06:00:00,2023-12-31T23:00:00,28122,3515,0.999324372377498,0.9957328781736718,0.9982931512694687,0.9939904700945879,1.0,5318813.24345,297738810620.9746,True,,current-survivor research panel
